Name of the body; position x; position y; position z; mass of the body
saturn; 1.49423; 8.91888; -0.214383; 0.0112863
uranus; 16.7168; -10.989; -0.257638; 0.00172372
neptune; 19.1732; -23.1904; 0.0358582; 0.00203369
sun; 0.00864839; -0.00718766; -0.00018036; 39.4784
jupiter; -2.53962; 4.59456; 0.0377383; 0.0376937
saturn; 1.47304; 8.92219; -0.213597; 0.0112863
uranus; 16.7246; -10.9777; -0.257697; 0.00172372
neptune; 19.1819; -23.1829; 0.0355042; 0.00203369
sun; 0.00867701; -0.00717799; -0.000181134; 39.4784
jupiter; -2.56408; 4.58253; 0.0383354; 0.0376937
saturn; 1.45184; 8.92547; -0.21281; 0.0112863
uranus; 16.7324; -10.9663; -0.257756; 0.00172372
neptune; 19.1907; -23.1755; 0.0351502; 0.00203369
sun; 0.00870557; -0.0071682; -0.000181908; 39.4784
jupiter; -2.58846; 4.57039; 0.0389315; 0.0376937
saturn; 1.43064; 8.92869; -0.212022; 0.0112863
uranus; 16.7401; -10.9549; -0.257815; 0.00172372
neptune; 19.1994; -23.1681; 0.0347963; 0.00203369
sun; 0.00873406; -0.00715827; -0.000182681; 39.4784
jupiter; -2.61278; 4.55812; 0.0395265; 0.0376937
saturn; 1.40943; 8.93187; -0.211233; 0.0112863
uranus; 16.7479; -10.9435; -0.257873; 0.00172372
neptune; 19.2082; -23.1607; 0.0344423; 0.00203369
