Name of the body; position x; position y; position z; mass of the body
jupiter; -0.610251; 5.11103; -0.00757795; 0.0376937
saturn; 2.99184; 8.55637; -0.267698; 0.0112863
uranus; 16.1345; -11.793; -0.253061; 0.00172372
neptune; 18.5348; -23.7146; 0.0613266; 0.00203369
sun; 0.00646261; -0.00751407; -0.000123936; 39.4784
jupiter; -0.637985; 5.10904; -0.00694908; 0.0376937
saturn; 2.97151; 8.56305; -0.267004; 0.0112863
uranus; 16.1429; -11.782; -0.253129; 0.00172372
neptune; 18.5437; -23.7074; 0.0609732; 0.00203369
sun; 0.00649406; -0.00751478; -0.000124714; 39.4784
jupiter; -0.6657; 5.10691; -0.00632001; 0.0376937
saturn; 2.95116; 8.56968; -0.26631; 0.0112863
uranus; 16.1513; -11.771; -0.253197; 0.00172372
neptune; 18.5527; -23.7002; 0.0606197; 0.00203369
sun; 0.0065255; -0.00751533; -0.000125493; 39.4784
jupiter; -0.693396; 5.10463; -0.00569077; 0.0376937
saturn; 2.9308; 8.57627; -0.265614; 0.0112863
uranus; 16.1596; -11.76; -0.253264; 0.00172372
neptune; 18.5617; -23.6931; 0.0602662; 0.00203369
sun; 0.00655693; -0.00751573; -0.000126272; 39.4784
jupiter; -0.721072; 5.1022; -0.00506137; 0.0376937
saturn; 2.91042; 8.58281; -0.264916; 0.0112863
uranus; 16.168; -11.7491; -0.253332; 0.00172372
neptune; 18.5706; -23.6859; 0.0599128; 0.00203369
sun; 0.00658833; -0.00751598; -0.000127052; 39.4784
jupiter; -0.748726; 5.09962; -0.00443184; 0.0376937
saturn; 2.89003; 8.5893; -0.264217; 0.0112863
uranus; 16.1763; -11.7381; -0.2534; 0.00172372
neptune; 18.5796; -23.6787; 0.0595593; 0.00203369
sun; 0.00661973; -0.00751607; -0.000127832; 39.4784
jupiter; -0.776359; 5.0969; -0.00380218; 0.0376937
saturn; 2.86963; 8.59575; -0.263517; 0.0112863
uranus; 16.1846; -11.7271; -0.253467; 0.00172372
neptune; 18.5885; -23.6715; 0.0592058; 0.00203369
sun; 0.0066511; -0.00751602; -0.000128613; 39.4784
jupiter; -0.80397; 5.09403; -0.00317242; 0.0376937
saturn; 2.8492; 8.60215; -0.262816; 0.0112863
uranus; 16.193; -11.7161; -0.253534; 0.00172372
neptune; 18.5975; -23.6644; 0.0588523; 0.00203369
sun; 0.00668246; -0.00751581; -0.000129394; 39.4784
jupiter; -0.831557; 5.09102; -0.00254257; 0.0376937
saturn; 2.82876; 8.60851; -0.262113; 0.0112863
uranus; 16.2013; -11.7051; -0.253601; 0.00172372
neptune; 18.6064; -23.6572; 0.0584988; 0.00203369
sun; 0.0067138; -0.00751545; -0.000130175; 39.4784
jupiter; -0.859121; 5.08786; -0.00191266; 0.0376937
saturn; 2.80831; 8.61482; -0.261408; 0.0112863
uranus; 16.2096; -11.6941; -0.253669; 0.00172372
neptune; 18.6153; -23.65; 0.0581452; 0.00203369
sun; 0.00674513; -0.00751493; -0.000130958; 39.4784
jupiter; -0.886659; 5.08456; -0.0012827; 0.0376937
saturn; 2.78784; 8.62109; -0.260702; 0.0112863
uranus; 16.2179; -11.6831; -0.253735; 0.00172372
neptune; 18.6243; -23.6428; 0.0577917; 0.00203369
sun; 0.00677643; -0.00751427; -0.00013174; 39.4784
jupiter; -0.914172; 5.0811; -0.000652703; 0.0376937
saturn; 2.76736; 8.62731; -0.259995; 0.0112863
uranus; 16.2262; -11.672; -0.253802; 0.00172372
neptune; 18.6332; -23.6356; 0.0574382; 0.00203369
sun; 0.00680771; -0.00751345; -0.000132523; 39.4784
jupiter; -0.941659; 5.07751; -2.26976e-05; 0.0376937
saturn; 2.74686; 8.63348; -0.259286; 0.0112863
uranus; 16.2345; -11.661; -0.253869; 0.00172372
neptune; 18.6422; -23.6284; 0.0570846; 0.00203369
sun; 0.00683897; -0.00751249; -0.000133306; 39.4784
jupiter; -0.969118; 5.07377; 0.000607302; 0.0376937
saturn; 2.72635; 8.63961; -0.258576; 0.0112863
uranus; 16.2428; -11.65; -0.253935; 0.00172372
neptune; 18.6511; -23.6212; 0.056731; 0.00203369
sun; 0.00687021; -0.00751137; -0.00013409; 39.4784
jupiter; -0.99655; 5.06988; 0.00123728; 0.0376937
saturn; 2.70583; 8.6457; -0.257865; 0.0112863
uranus; 16.251; -11.6389; -0.254002; 0.00172372
neptune; 18.66; -23.614; 0.0563775; 0.00203369
sun; 0.00690143; -0.0075101; -0.000134874; 39.4784
jupiter; -1.02395; 5.06585; 0.00186721; 0.0376937
saturn; 2.68529; 8.65173; -0.257152; 0.0112863
uranus; 16.2593; -11.6279; -0.254068; 0.00172372
neptune; 18.6689; -23.6068; 0.0560239; 0.00203369
sun; 0.00693262; -0.00750868; -0.000135659; 39.4784
jupiter; -1.05133; 5.06168; 0.00249709; 0.0376937
saturn; 2.66473; 8.65772; -0.256438; 0.0112863
uranus; 16.2675; -11.6168; -0.254134; 0.00172372
neptune; 18.6779; -23.5996; 0.0556703; 0.00203369
sun; 0.00696379; -0.00750711; -0.000136444; 39.4784
jupiter; -1.07867; 5.05736; 0.00312689; 0.0376937
saturn; 2.64416; 8.66367; -0.255723; 0.0112863
uranus; 16.2758; -11.6058; -0.2542; 0.00172372
neptune; 18.6868; -23.5924; 0.0553167; 0.00203369
sun; 0.00699493; -0.00750539; -0.000137229; 39.4784
jupiter; -1.10598; 5.05289; 0.0037566; 0.0376937
saturn; 2.62358; 8.66957; -0.255006; 0.0112863
uranus; 16.284; -11.5947; -0.254266; 0.00172372
neptune; 18.6957; -23.5852; 0.0549631; 0.00203369
sun; 0.00702605; -0.00750352; -0.000138014; 39.4784
jupiter; -1.13326; 5.04829; 0.00438619; 0.0376937
saturn; 2.60298; 8.67542; -0.254288; 0.0112863
uranus; 16.2923; -11.5837; -0.254332; 0.00172372
neptune; 18.7046; -23.5779; 0.0546095; 0.00203369
sun; 0.00705714; -0.0075015; -0.0001388; 39.4784
jupiter; -1.16051; 5.04354; 0.00501565; 0.0376937
saturn; 2.58237; 8.68123; -0.253568; 0.0112863
uranus; 16.3005; -11.5726; -0.254398; 0.00172372
neptune; 18.7135; -23.5707; 0.0542559; 0.00203369
sun; 0.0070882; -0.00749933; -0.000139585; 39.4784
